apps/iot/iot/iot/doctype/iot_device_bunch/iot_device_bunch.py +35,Add bunch code {0} to {1}:{2},
DocType: IOT Homepage,Administrator,
DocType: IOT Device Error,Amended From,
DocType: IOT HDB Settings,Authorization Code,
apps/iot/iot/hdb_api.py +27,Authorization Code is incorrect!,
apps/iot/iot/templates/pages/iot_device.py +31,Back,
DocType: IOT Device,Bunch,
apps/iot/iot/templates/pages/iot_device_bunch.py +24,Bunch Code,
apps/iot/iot/templates/pages/iot_device_bunch.js +30,Bunch Code Inserted,
apps/iot/iot/templates/pages/iot_company_group.html +12,Bunch Codes,
apps/iot/iot/iot/doctype/iot_device_bunch/iot_device_bunch.py +38,Bunch code already exists!,
DocType: IOT HDB Settings,CallBack URL,
apps/iot/iot/iot/doctype/iot_share_group/iot_share_group.py +20,Cannot adding your employee {0} into shared group,
apps/iot/iot/iot/doctype/iot_share_group/iot_share_group.py +33,Cannot device {0} which is not belongs to your company,
apps/iot/iot/iot/doctype/iot_share_group/iot_share_group.py +58,Cannot your employee {0} into shared group,
apps/iot/iot/templates/pages/iot_device.html +26,Cfg,
DocType: IOT Device Error,Close,
DocType: IOT Device Bunch,Cloud Company Group,
DocType: IOT Device,Cloud User,
DocType: IOT Device Bunch,Code,
DocType: IOT Device,Company,
DocType: IOT Homepage,Company Description for website iot homepage,
DocType: IOT Homepage,Company Tagline for website iot homepage,
apps/iot/iot/templates/pages/iot_device_bunch.html +62,Create for,
apps/iot/iot/templates/pages/iot_device_bunch.html +49,Creation,
apps/iot/iot/templates/pages/iot_device.html +29,Data,
DocType: IOT HDB Settings,Data URL,
DocType: IOT Error Type,Description,
DocType: IOT Device Error,Device,
DocType: IOT HDB Settings,Device Data URL,
DocType: IOT Device,Device Status,
apps/iot/iot/hdb_api.py +260,Device is not found. SN:{0},
apps/iot/iot/iot/doctype/iot_device/iot_device.py +67,Device {0} does not exits!,
apps/iot/iot/iot/doctype/iot_share_group/iot_share_group.py +24,Device {0} is not belongs to company {1},
apps/iot/iot/hdb_api.py +361,Device {0} not found.,
apps/iot/iot/templates/pages/iot_device.html +36,Device: ,
DocType: IOT Share Group,Devices,
apps/iot/iot/templates/pages/iot_device_bunch.html +25,Edit,
apps/iot/iot/templates/pages/iot_device_bunch.html +77,Enable,
DocType: IOT Device,Enabled,
DocType: IOT Device Error,Error Info,
