apps/iot/iot/user_api.py +26,API AuthorizationCode as {0},
apps/iot/iot/templates/pages/iot_me.html +60,Add Device,
DocType: IOT Homepage,Administrator,
DocType: IOT Device Error,Amended From,
DocType: IOT HDB Settings,Authorization Code,
apps/iot/iot/user_api.py +30,Authorization Code is incorrect!,
apps/iot/iot/user_api.py +25,AuthorizationCode is required in HTTP Header!,
apps/iot/iot/templates/pages/iot_me.py +32,Back,
DocType: IOT Device,Beta Version Usage,
DocType: IOT Device Config Bundle,Bundle Name,
apps/iot/iot/iot/doctype/iot_share_group/iot_share_group.py +20,Cannot add your employee {0} into shared group,
DocType: IOT Device Error,Close,
DocType: IOT Device,Cloud Company Group,
DocType: IOT Device Bunch,Code,
DocType: IOT Device,Company,
DocType: IOT Device,Company Admin,
DocType: IOT Homepage,Company Description for website iot homepage,
DocType: IOT Homepage,Company Tagline for website iot homepage,
DocType: IOT Config File,Config,
DocType: IOT Device Config,Config File,
DocType: IOT Config,Config Name,
DocType: IOT Device Config Bundle,Config Settings,
DocType: IOT Device Config Bundle,Config Version,
DocType: IOT Device,Description,
DocType: IOT Device Error,Device,
DocType: IOT Device Config BundleDevice,Device Name,
DocType: IOT Device Config BundleDevice,Device SN,
apps/iot/iot/device_api.py +59,Device SN does not exits!,
apps/iot/iot/iot_remote/doctype/iot_device_config_bundle/iot_device_config_bundle.py +18,Device SN {0} is licensed by {1},
DocType: IOT Device,Device Status,
apps/iot/iot/hdb_api.py +273,Device is not found. SN:{0},
apps/iot/iot/iot/doctype/iot_device/iot_device.py +88,Device {0} does not exits!,
apps/iot/iot/iot/doctype/iot_share_group/iot_share_group.py +24,Device {0} is not belongs to company {1},
apps/iot/iot/hdb_api.py +375,Device {0} not found.,
DocType: IOT Share Group,Devices,
apps/iot/iot/iot/doctype/iot_device/iot_device.js +7,Enable Beta,
DocType: IOT Device,Enabled,
DocType: IOT Device Error,Error Info,
DocType: IOT Device Error,Error Key,
DocType: IOT Device Error,Error Level,
DocType: IOT Error Type,Error Name,
DocType: IOT Device Error,Error Time,
DocType: IOT Device Error,Error Type,
DocType: IOT Config File,External,
DocType: IOT Config File,File,
DocType: IOT Config File,File Settings,
DocType: IOT Config File,File URL,
apps/iot/iot/iot/doctype/iot_device_error/iot_device_error.js +7,Fire Wechat Notify,
DocType: IOT Device Error Rule,Group,
DocType: IOT Share Group,Group Name,
apps/iot/iot/templates/pages/iot_me.html +44,Groups,
apps/iot/iot/iot/doctype/iot_hdb_settings/iot_hdb_settings.js +29,HDB,
apps/iot/iot/hdb_api.py +80,HDB Checking login user {0} password {1},
DocType: IOT HDB Settings,HDB Status,
DocType: IOT HDB Settings,HDB Updated,
apps/iot/iot/hdb_api.py +23,HDB-AuthorizationCode as {0},
apps/iot/iot/hdb_api.py +22,HDB-AuthorizationCode is required in HTTP Header!,
apps/iot/iot/iot/doctype/iot_device_error/iot_device_error.py +23,Has new {0},
DocType: IOT Device,IOT,
apps/iot/iot/hooks.py +79,IOT Account,
apps/iot/iot/hooks.py +57,IOT Companies,
DocType: IOT Config,IOT Config,
DocType: IOT Config File,IOT Config File,
DocType: IOT Device,IOT Device,
DocType: IOT Device Bunch,IOT Device Bunch,
DocType: IOT Device Config,IOT Device Config,
DocType: IOT Device Config Bundle,IOT Device Config Bundle,
DocType: IOT Device Config BundleDevice,IOT Device Config BundleDevice,
DocType: IOT Device Error,IOT Device Error,
DocType: IOT Device Error Rule,IOT Device Error Rule,
apps/iot/iot/hooks.py +77,IOT Devices,
apps/iot/iot/hooks.py +78,IOT Devices Map,
apps/iot/iot/iot/doctype/iot_device/iot_device.py +199,IOT Devices of your group/account,
DocType: IOT Error Type,IOT Error Type,
DocType: IOT HDB Settings,IOT HDB Settings,
DocType: IOT Homepage,IOT Homepage,
DocType: IOT Device,IOT Manager,
DocType: IOT Homepage,IOT Portal,
DocType: IOT Config,IOT Remote,
DocType: IOT Share Group,IOT Share Group,
DocType: IOT ShareGroupDevice,IOT ShareGroupDevice,
DocType: IOT ShareGroupUser,IOT ShareGroupUser,
DocType: IOT Device,IOT User,
DocType: IOT User Api,IOT User Api,
apps/iot/iot/hdb.py +147,Incorrect HTTP Content-Type found {0},
apps/iot/iot/iot/doctype/iot_hdb_settings/iot_hdb_settings.js +27,InfluxDB,
DocType: IOT HDB Settings,InfluxDB Server,
DocType: IOT HDB Settings,InfluxDB Status,
DocType: IOT HDB Settings,InfluxDB Updated,
DocType: IOT Device,Informations,
apps/iot/iot/hdb.py +149,JSON Data not found!,
DocType: IOT Device,Last Updated,
DocType: IOT Device,Latitude,
DocType: IOT Device Error Rule,Level,
apps/iot/iot/hdb_api.py +92,List Devices for user {0},
DocType: IOT Device,Longitude,
DocType: IOT HDB Settings,MQTT Device Password SID,
DocType: IOT HDB Settings,MQTT Root Password,
apps/iot/iot/templates/pages/iot_me.html +52,More,
apps/iot/iot/templates/pages/iot_me.html +3,My IOT Account,
DocType: IOT Device,Name,
apps/iot/iot/templates/pages/iot_me.html +71,No Devices,
apps/iot/iot/device_api.py +63,Not permitted,
DocType: IOT HDB Settings,OFF,
DocType: IOT Device,OFFLINE,
DocType: IOT HDB Settings,ON,
DocType: IOT Device,ONLINE,
DocType: IOT HDB Settings,On Behalf,
DocType: IOT Device Error,Open,
DocType: IOT Device,Owner ID,
DocType: IOT Config,Owner Name,
DocType: IOT Device,Owner Type,
apps/iot/iot/config/website.py +6,Portal,
DocType: IOT Device,Position Settings,
apps/iot/iot/templates/pages/iot_device.html +52,Quality,
apps/iot/iot/hdb_api.py +141,Query string user does not specified,
apps/iot/iot/iot/doctype/iot_hdb_settings/iot_hdb_settings.js +25,Redis,
DocType: IOT HDB Settings,Redis Server,
DocType: IOT HDB Settings,Redis Status,
DocType: IOT HDB Settings,Redis Updated,
apps/iot/iot/device_api.py +77,"Redis message published, but no listener!",
apps/iot/iot/iot/doctype/iot_hdb_settings/iot_hdb_settings.js +9,Refresh Server Status,
apps/iot/iot/hdb.py +144,Request Method Must be POST!,
apps/iot/iot/hdb_api.py +372,Request fields not found. fields: device,
apps/iot/iot/hdb_api.py +162,Request fields not found. fields: sn,
apps/iot/iot/hdb_api.py +296,Request fields not found. fields: sn\thdb,
apps/iot/iot/hdb_api.py +331,Request fields not found. fields: sn\tname,
apps/iot/iot/hdb_api.py +351,Request fields not found. fields: sn\tposition,
apps/iot/iot/hdb_api.py +314,Request fields not found. fields: sn\tstatus,
apps/iot/iot/iot/doctype/iot_device_error/iot_device_error.js +25,Resend Successfully,
DocType: IOT Share Group,Role,
DocType: IOT Device,SN,
DocType: IOT HDB Settings,Server Status,
DocType: IOT HDB Settings,Server Status HTML,
DocType: IOT HDB Settings,Servers,
apps/iot/iot/config/website.py +11,Settings for IOT Cloud homepage,
DocType: IOT Share Group,Shared Device List,
DocType: IOT Share Group,Shared To Users,
DocType: IOT Device Config,Source ID,
DocType: IOT Device Config,Source Type,
DocType: IOT Device Error,Status,
DocType: IOT User Api,System Manager,
DocType: IOT Homepage,TItle,
DocType: IOT Homepage,Tag Line,
,Test Page,
apps/iot/iot/iot_portal/doctype/iot_homepage/iot_homepage.py +13,This is an example website auto-generated from IOT,
apps/iot/iot/templates/pages/iot_device.html +50,TimeStamp,
DocType: IOT Device,Use Beta,
DocType: IOT Device,Use Beta Start Time,
DocType: IOT Device,User,
apps/iot/iot/templates/pages/iot_me.html +23,Username,
apps/iot/iot/hdb_api.py +84,Username password is not matched!,
DocType: IOT Share Group,Users,
apps/iot/iot/templates/pages/iot_device.html +51,Value,
DocType: IOT Config File,Version,
DocType: IOT Device Error,Wechat Notify,
apps/iot/iot/iot/doctype/iot_device/iot_device.py +198,Your Devices,
DocType: IOT HDB Settings,e.g. http://[username]:[password]@10.0.0.164:8086 or http://10.0.0.164:8086  or 10.0.0.164,
DocType: IOT HDB Settings,e.g. redis://:password@10.0.0.164:6379 redis://10.0.0.164:6379  or 10.0.0.164,
DocType: IOT Device,hdb,
