apps/iot/iot/iot/doctype/iot_device_bunch/iot_device_bunch.py +35,Add bunch code {0} to {1}:{2},添加绑定码 {0} 到 {1}:{2}
DocType: IOT Homepage,Administrator,超级管理员
DocType: IOT Device Error,Amended From,修订源
DocType: IOT HDB Settings,Authorization Code,验证码
apps/iot/iot/hdb_api.py +27,Authorization Code is incorrect!,验证码不正确
apps/iot/iot/templates/pages/iot_device.py +31,Back,后退
DocType: IOT Device,Bunch,绑定码
apps/iot/iot/templates/pages/iot_device_bunch.py +24,Bunch Code,绑定码
apps/iot/iot/templates/pages/iot_device_bunch.js +30,Bunch Code Inserted,绑定码新增成功
apps/iot/iot/templates/pages/iot_company_group.html +12,Bunch Codes,绑定码列表
apps/iot/iot/iot/doctype/iot_device_bunch/iot_device_bunch.py +38,Bunch code already exists!,绑定码重复
apps/iot/iot/iot/doctype/iot_share_group/iot_share_group.py +20,Cannot add your employee {0} into shared group,不能添加公司员工{0}到共享组
apps/iot/iot/templates/pages/iot_device.html +26,Cfg,点表
DocType: IOT Device Error,Close,关闭
DocType: IOT Device Bunch,Cloud Company Group,Cloud 组
DocType: IOT Device,Cloud User,Cloud 用户
DocType: IOT Device Bunch,Code,基站编码
DocType: IOT Device,Company,公司
DocType: IOT Homepage,Company Description for website iot homepage,公司描述
DocType: IOT Homepage,Company Tagline for website iot homepage,公司描述信息
apps/iot/iot/templates/pages/iot_device_bunch.html +62,Create for,创建
apps/iot/iot/templates/pages/iot_device_bunch.html +49,Creation,创建时间
apps/iot/iot/templates/pages/iot_device.html +29,Data,数据
DocType: IOT HDB Settings,Default Bunch Code,
DocType: IOT Error Type,Description,描述
DocType: IOT Device Error,Device,设备
DocType: IOT Device,Device Status,设备状态
apps/iot/iot/hdb_api.py +262,Device is not found. SN:{0},设备不存在. 序列号:{0}
apps/iot/iot/iot/doctype/iot_device/iot_device.py +67,Device {0} does not exits!,设备 {0} 不存在
apps/iot/iot/iot/doctype/iot_share_group/iot_share_group.py +24,Device {0} is not belongs to company {1},设备{0}不属于公司{1}
apps/iot/iot/hdb_api.py +365,Device {0} not found.,设备{0}不存在。
apps/iot/iot/templates/pages/iot_device.html +36,Device: ,设备：
DocType: IOT Share Group,Devices,设备列表
apps/iot/iot/templates/pages/iot_device_bunch.html +25,Edit,编辑
apps/iot/iot/templates/pages/iot_device_bunch.html +77,Enable,启用
DocType: IOT Device,Enabled,启用
DocType: IOT Device Error,Error Info,错误信息
DocType: IOT Device Error,Error Key,错误关键字
DocType: IOT Error Type,Error Name,错误名称
DocType: IOT Device Error,Error Type,错误类型
DocType: IOT Share Group,Group Name,组名称
apps/iot/iot/templates/pages/iot_me.html +44,Groups,组列表
apps/iot/iot/hdb_api.py +80,HDB Checking login user {0} password {1},HDB登陆验证 用户{0} 密码{1}
DocType: IOT HDB Settings,HDB Status,HDB状态
apps/iot/iot/hdb_api.py +23,HDB-AuthorizationCode as {0},
apps/iot/iot/hdb_api.py +22,HDB-AuthorizationCode is required in HTTP Header!,
apps/iot/iot/iot/doctype/iot_device_error/iot_device_error.py +20,Has new ,有新的
DocType: IOT Device,IOT,IOT
apps/iot/iot/hooks.py +86,IOT Account,IOT 账户
apps/iot/iot/hooks.py +57,IOT Companies,IOT 公司列表
DocType: IOT Device,IOT Device,IOT 设备
DocType: IOT Device Bunch,IOT Device Bunch,IOT 设备绑定码
DocType: IOT Device Error,IOT Device Error,IOT 设备错误
apps/iot/iot/hooks.py +84,IOT Devices,IOT 设备列表
apps/iot/iot/hooks.py +85,IOT Devices Map,IOT 设备地图
apps/iot/iot/iot/doctype/iot_device/iot_device.py +168,IOT Devices of your group/account,属于您企业和个人的IOT设备列表
DocType: IOT Error Type,IOT Error Type,IOT 错误类型
DocType: IOT HDB Settings,IOT HDB Settings,IOT HDB设定
DocType: IOT Homepage,IOT Homepage,IOT 主页
DocType: IOT Device,IOT Manager,IOT 管理员
DocType: IOT Homepage,IOT Portal,IOT 门户
DocType: IOT Share Group,IOT Share Group,IOT 共享组
DocType: IOT ShareGroupDevice,IOT ShareGroupDevice,
DocType: IOT ShareGroupUser,IOT ShareGroupUser,
DocType: IOT Device,IOT User,IOT 用户
apps/iot/iot/hdb.py +80,Incorrect HTTP Content-Type found {0},检测到不正确的Content-Type {0}
DocType: IOT HDB Settings,InfluxDB Server IP,
DocType: IOT Device,Informations,设备信息
apps/iot/iot/hdb.py +82,JSON Data not found!,未找到JSON数据
DocType: IOT Device,Last Updated,最后更新时间
DocType: IOT Device,Latitude,维度
apps/iot/iot/hdb_api.py +92,List Devices for user {0},属于用户 {0} 的设备列表
DocType: IOT Device,Longitude,经度
apps/iot/iot/templates/pages/iot_device_bunch.html +53,Modified,编辑时间
apps/iot/iot/templates/pages/iot_me.html +52,More,更多
apps/iot/iot/templates/pages/iot_me.html +3,My IOT Account,IOT 账户
DocType: IOT Device,Name,名称
apps/iot/iot/templates/pages/iot_me.html +60,New Bunch Code,新增绑定码
apps/iot/iot/templates/pages/iot_company_group.html +13,New bunch code,新增绑定码
apps/iot/iot/templates/pages/iot_company_group.html +24,No bunch-codes,没有设备绑定码
apps/iot/iot/templates/pages/iot_me.html +71,No device bunch codes,没有设备绑定码
DocType: IOT Device,OFFLINE,离线
DocType: IOT Device,ONLINE,在线
DocType: IOT HDB Settings,On Behalf,代理用户
DocType: IOT Device Error,Open,开
DocType: IOT Device Bunch,Owner ID,拥有者ID
DocType: IOT Device Bunch,Owner Type,拥有者类型
apps/iot/iot/config/website.py +6,Portal,门户
DocType: IOT Device,Position Settings,位置设定
apps/iot/iot/templates/pages/iot_me.html +59,Private Bunch Codes,私有绑定码
apps/iot/iot/hdb_api.py +148,Query string user does not specified,没有指定用户名
DocType: IOT HDB Settings,Redis Server IP,
apps/iot/iot/hdb.py +77,Request Method Must be POST!,只接受POST请求
apps/iot/iot/hdb_api.py +362,Request fields not found. fields: device,请求中未包含设备
apps/iot/iot/hdb_api.py +169,Request fields not found. fields: sn,请求中未包含设备序列号
apps/iot/iot/hdb_api.py +286,Request fields not found. fields: sn\thdb,请求中未包含设备序列号、存储路径
apps/iot/iot/hdb_api.py +321,Request fields not found. fields: sn\tname,请求中未包含设备序列号、设备名
apps/iot/iot/hdb_api.py +341,Request fields not found. fields: sn\tposition,请求中未包含设备序列号、经维度
apps/iot/iot/hdb_api.py +304,Request fields not found. fields: sn\tstatus,请求中未包含设备序列号、状态值
apps/iot/iot/iot/doctype/iot_device_error/iot_device_error.js +7,Resend,重发
DocType: IOT Share Group,Role,角色
DocType: IOT Device,SN,设备序列号
apps/iot/iot/config/website.py +11,Settings for IOT Cloud homepage,IOT主页设定
DocType: IOT Share Group,Shared Device List,共享设备列表
DocType: IOT Share Group,Shared To Users,共享给用户
DocType: IOT Device Error,Status,状态
DocType: IOT Homepage,System Manager,系统管理员
DocType: IOT Homepage,TItle,标题
DocType: IOT Homepage,Tag Line,标签行
,Test Page,测试页面
apps/iot/iot/iot_portal/doctype/iot_homepage/iot_homepage.py +13,This is an example website auto-generated from IOT,这是自动生成的物联网示例页面
apps/iot/iot/iot/doctype/iot_device_bunch/iot_device_bunch.py +63,Update device bunch code {0} name to {1},更新设备绑定码名称 {0} → {1}
DocType: IOT Device Bunch,User,用户
apps/iot/iot/templates/pages/iot_me.html +23,Username,用户名
apps/iot/iot/hdb_api.py +84,Username password is not matched!,用户名密码不匹配
DocType: IOT Share Group,Users,用户列表
DocType: IOT Error Type,Value,值
DocType: IOT Device Error,Wechat Notify,微信通知
